nome_campus;sigla_universidade;tipo;ano_criacao_campus;codigo_municipio;nome_municipio
IFTO - Dianópolis;IFTO;instituto federal;2014;1707009;Dianópolis
IFTO - Gurupi;IFTO;instituto federal;2010;1709500;Gurupi
IFTO - Lagoa da Confusão;IFTO;instituto federal;2019;1711902;Lagoa da Confusão
IFTO - Palmas;IFTO;instituto federal;2008;1721000;Palmas
IFTO - Paraíso do Tocantins;IFTO;instituto federal;2010;1716109;Paraíso do Tocantins
IFTO - Pedro Afonso;IFTO;instituto federal;2019;1716505;Pedro Afonso
IFTO - Porto Nacional;IFTO;instituto federal;2010;1718204;Porto Nacional
UFABC - Santo André;UFABC;universidade;2008;3547809;Santo André
UFABC - São Bernardo do Campo;UFABC;universidade;2010;3548708;São Bernardo do Campo
UFAC - Brasiléia;UFAC;universidade;2008;1200104;Brasiléia
UFAC - Cruzeiro do Sul;UFAC;universidade;2008;1200203;Cruzeiro do Sul
UFAC - Rio Branco;UFAC;universidade;2008;1200401;Rio Branco
UFAL - Arapiraca;UFAL;universidade;2008;2700300;Arapiraca
UFAL - Delmiro Gouveia;UFAL;universidade;2010;2702405;Delmiro Gouveia
UFAL - Maceió;UFAL;universidade;2008;2704302;Maceió
UFAL - Palmeira dos Índios;UFAL;universidade;2009;2706307;Palmeira dos Índios
UFAL - Penedo;UFAL;universidade;2009;2706703;Penedo
UFAL - Rio Largo;UFAL;universidade;2008;2707701;Rio Largo
UFAL - Santana do Ipanema;UFAL;universidade;2011;2708006;Santana do Ipanema
UFAL - Viçosa;UFAL;universidade;2009;2709400;Viçosa
UFAM - Benjamin Constant;UFAM;universidade;2008;1300607;Benjamin Constant
UFAM - Coari;UFAM;universidade;2008;1301209;Coari
UFAM - Humaitá;UFAM;universidade;2008;1301704;Humaitá
UFAM - Itacoatiara;UFAM;universidade;2008;1301902;Itacoatiara
UFAM - Manaus;UFAM;universidade;2008;1302603;Manaus
UFAM - Parintins;UFAM;universidade;2008;1303403;Parintins
UFAPE - Garanhuns;UFAPE;universidade;2020;2606002;Garanhuns
UFBA - Camaçari;UFBA;universidade;2018;2905701;Camaçari
UFBA - Salvador;UFBA;universidade;2008;2927408;Salvador
UFBA - Vitória da Conquista;UFBA;universidade;2008;2933307;Vitória da Conquista
UFC - Crateús;UFC;universidade;2014;2304103;Crateús
UFC - Fortaleza;UFC;universidade;2008;2304400;Fortaleza
UFC - Itapajé;UFC;universidade;2021;2306306;Itapajé
UFC - Quixadá;UFC;universidade;2008;2311306;Quixadá
UFC - Russas;UFC;universidade;2014;2311801;Russas
UFC - Sobral;UFC;universidade;2008;2312908;Sobral
UFCA - Barbalha;UFCA;universidade;2013;2301901;Barbalha
UFCA - Brejo Santo;UFCA;universidade;2014;2302503;Brejo Santo
UFCA - Crato;UFCA;universidade;2015;2304202;Crato
UFCA - Juazeiro do Norte;UFCA;universidade;2013;2307304;Juazeiro do Norte
UFCAT - Catalão;UFCAT;universidade;2020;5205109;Catalão
UFCG - Cajazeiras;UFCG;universidade;2008;2503704;Cajazeiras
UFCG - Campina Grande;UFCG;universidade;2008;2504009;Campina Grande
UFCG - Cuité;UFCG;universidade;2008;2505105;Cuité
UFCG - Patos;UFCG;universidade;2008;2510808;Patos
UFCG - Pombal;UFCG;universidade;2008;2512101;Pombal
UFCG - Sousa;UFCG;universidade;2008;2516201;Sousa
UFCG - Sumé;UFCG;universidade;2009;2516300;Sumé
UFCSPA - Porto Alegre;UFCSPA;universidade;2008;4314902;Porto Alegre
UFDPAR - Parnaíba;UFDPAR;universidade;2020;2207702;Parnaíba
UFERSA - Angicos;UFERSA;universidade;2009;2400802;Angicos
UFERSA - Caraúbas;UFERSA;universidade;2010;2402303;Caraúbas
UFERSA - Mossoró;UFERSA;universidade;2008;2408003;Mossoró
UFERSA - Pau dos Ferros;UFERSA;universidade;2012;2409407;Pau dos Ferros
UFES - Alegre;UFES;universidade;2008;3200201;Alegre
UFES - São Mateus;UFES;universidade;2008;3204906;São Mateus
UFES - Vitória;UFES;universidade;2008;3205309;Vitória
UFF - Angra dos Reis;UFF;universidade;2008;3300100;Angra dos Reis
UFF - Campos dos Goytacazes;UFF;universidade;2008;3301009;Campos dos Goytacazes
UFF - Macaé;UFF;universidade;2008;3302403;Macaé
UFF - Niterói;UFF;universidade;2008;3303302;Niterói
UFF - Nova Friburgo;UFF;universidade;2008;3303401;Nova Friburgo
UFF - Petrópolis;UFF;universidade;2015;3303906;Petrópolis
UFF - Rio das Ostras;UFF;universidade;2008;3304524;Rio das Ostras
UFF - Santo Antônio de Pádua;UFF;universidade;2008;3304706;Santo Antônio de Pádua
UFF - Volta Redonda;UFF;universidade;2008;3306305;Volta Redonda
UFFS - Cerro Largo;UFFS;universidade;2010;4305207;Cerro Largo
UFFS - Chapecó;UFFS;universidade;2010;4204202;Chapecó
UFFS - Erechim;UFFS;universidade;2010;4307005;Erechim
UFFS - Laranjeiras do Sul;UFFS;universidade;2010;4113304;Laranjeiras do Sul
UFFS - Passo Fundo;UFFS;universidade;2013;4314100;Passo Fundo
UFFS - Realeza;UFFS;universidade;2010;4121406;Realeza
UFG - Aparecida de Goiânia;UFG;universidade;2014;5201405;Aparecida de Goiânia
UFG - Goiás;UFG;universidade;2008;5208905;Goiás
UFG - Goiânia;UFG;universidade;2008;5208707;Goiânia
UFGD - Dourados;UFGD;universidade;2008;5003702;Dourados
UFJ - Jataí;UFJ;universidade;2020;5211909;Jataí
UFJF - Governador Valadares;UFJF;universidade;2013;3127701;Governador Valadares
UFJF - Juiz de Fora;UFJF;universidade;2008;3136702;Juiz de Fora
UFLA - Lavras;UFLA;universidade;2008;3138203;Lavras
UFLA - São Sebastião do Paraíso;UFLA;universidade;2022;3164704;São Sebastião do Paraíso
UFMA - Bacabal;UFMA;universidade;2009;2101202;Bacabal
UFMA - Balsas;UFMA;universidade;2013;2101400;Balsas
UFMA - Chapadinha;UFMA;universidade;2008;2103208;Chapadinha
UFMA - Codó;UFMA;universidade;2008;2103307;Codó
UFMA - Grajaú;UFMA;universidade;2010;2104800;Grajaú
UFMA - Imperatriz;UFMA;universidade;2008;2105302;Imperatriz
UFMA - Pinheiro;UFMA;universidade;2010;2108603;Pinheiro
UFMA - São Bernardo;UFMA;universidade;2010;2110609;São Bernardo
UFMA - São Luís;UFMA;universidade;2008;2111300;São Luís
UFMG - Belo Horizonte;UFMG;universidade;2008;3106200;Belo Horizonte
UFMG - Montes Claros;UFMG;universidade;2008;3143302;Montes Claros
UFMS - Aquidauana;UFMS;universidade;2008;5001102;Aquidauana
UFMS - Campo Grande;UFMS;universidade;2008;5002704;Campo Grande
UFMS - Chapadão do Sul;UFMS;universidade;2008;5002951;Chapadão do Sul
UFMS - Corumbá;UFMS;universidade;2008;5003207;Corumbá
UFMS - Coxim;UFMS;universidade;2008;5003306;Coxim
UFMS - Naviraí;UFMS;universidade;2009;5005707;Naviraí
UFMS - Nova Andradina;UFMS;universidade;2008;5006200;Nova Andradina
UFMS - Paranaíba;UFMS;universidade;2008;5006309;Paranaíba
UFMS - Ponta Porã;UFMS;universidade;2009;5006606;Ponta Porã
UFMS - Três Lagoas;UFMS;universidade;2008;5008305;Três Lagoas
UFMT - Barra do Garças;UFMT;universidade;2009;5101803;Barra do Garças
UFMT - Cuiabá;UFMT;universidade;2008;5103403;Cuiabá
UFMT - Pontal do Araguaia;UFMT;universidade;2008;5106653;Pontal do Araguaia
UFMT - Sinop;UFMT;universidade;2008;5107909;Sinop
UFMT - Várzea Grande;UFMT;universidade;2014;5108402;Várzea Grande
UFNT - Araguaína;UFNT;universidade;2023;1702109;Araguaína
UFNT - Tocantinópolis;UFNT;universidade;2023;1721208;Tocantinópolis
UFOB - Barra;UFOB;universidade;2014;2902708;Barra
UFOB - Barreiras;UFOB;universidade;2013;2903201;Barreiras
UFOB - Bom Jesus da Lapa;UFOB;universidade;2014;2903904;Bom Jesus da Lapa
UFOB - Luís Eduardo Magalhães;UFOB;universidade;2014;2919553;Luís Eduardo Magalhães
UFOB - Santa Maria da Vitória;UFOB;universidade;2014;2928109;Santa Maria da Vitória
UFOP - João Monlevade;UFOP;universidade;2008;3136207;João Monlevade
UFOP - Mariana;UFOP;universidade;2008;3140001;Mariana
UFOP - Ouro Preto;UFOP;universidade;2008;3146107;Ouro Preto
UFOPA - Alenquer;UFOPA;universidade;2017;1500404;Alenquer
UFOPA - Itaituba;UFOPA;universidade;2017;1503606;Itaituba
UFOPA - Juruti;UFOPA;universidade;2017;1503903;Juruti
UFOPA - Monte Alegre;UFOPA;universidade;2017;1504802;Monte Alegre
UFOPA - Oriximiná;UFOPA;universidade;2017;1505304;Oriximiná
UFOPA - Santarém;UFOPA;universidade;2010;1506807;Santarém
UFOPA - Óbidos;UFOPA;universidade;2017;1505106;Óbidos
UFPA - Abaetetuba;UFPA;universidade;2008;1500107;Abaetetuba
UFPA - Altamira;UFPA;universidade;2008;1500602;Altamira
UFPA - Ananindeua;UFPA;universidade;2014;1500800;Ananindeua
UFPA - Belém;UFPA;universidade;2008;1501402;Belém
UFPA - Bragança;UFPA;universidade;2008;1501709;Bragança
UFPA - Breves;UFPA;universidade;2008;1501808;Breves
UFPA - Cametá;UFPA;universidade;2008;1502103;Cametá
UFPA - Castanhal;UFPA;universidade;2008;1502400;Castanhal
UFPA - Salinópolis;UFPA;universidade;2015;1506203;Salinópolis
UFPA - Soure;UFPA;universidade;2008;1507904;Soure
UFPA - Tucuruí;UFPA;universidade;2008;1508100;Tucuruí
UFPB - Areia;UFPB;universidade;2008;2501104;Areia
UFPB - Bananeiras;UFPB;universidade;2008;2501500;Bananeiras
UFPB - João Pessoa;UFPB;universidade;2008;2507507;João Pessoa
UFPB - Mamanguape;UFPB;universidade;2008;2508901;Mamanguape
UFPB - Rio Tinto;UFPB;universidade;2008;2512903;Rio Tinto
UFPB - Santa Rita;UFPB;universidade;2020;2513703;Santa Rita
UFPE - Caruaru;UFPE;universidade;2008;2604106;Caruaru
UFPE - Recife;UFPE;universidade;2008;2611606;Recife
UFPE - Vitória de Santo Antão;UFPE;universidade;2008;2616407;Vitória de Santo Antão
UFPEL - Capão do Leão;UFPEL;universidade;2008;4304663;Capão do Leão
UFPEL - Eldorado do Sul;UFPEL;universidade;2011;4306767;Eldorado do Sul
UFPEL - Pelotas;UFPEL;universidade;2008;4314407;Pelotas
UFPI - Bom Jesus;UFPI;universidade;2008;2201903;Bom Jesus
UFPI - Floriano;UFPI;universidade;2008;2203909;Floriano
UFPI - Picos;UFPI;universidade;2008;2208007;Picos
UFPI - Teresina;UFPI;universidade;2008;2211001;Teresina
UFPR - Curitiba;UFPR;universidade;2008;4106902;Curitiba
UFPR - Jandaia do Sul;UFPR;universidade;2014;4112108;Jandaia do Sul
UFPR - Matinhos;UFPR;universidade;2008;4115705;Matinhos
UFPR - Palotina;UFPR;universidade;2008;4117909;Palotina
UFPR - Pontal do Paraná;UFPR;universidade;2008;4119954;Pontal do Paraná
UFPR - Toledo;UFPR;universidade;2018;4127700;Toledo
UFR - Rondonópolis;UFR;universidade;2020;5107602;Rondonópolis
UFRA - Belém;UFRA;universidade;2008;1501402;Belém
UFRA - Capanema;UFRA;universidade;2013;1502202;Capanema
UFRA - Capitão Poço;UFRA;universidade;2008;1502301;Capitão Poço
UFRA - Paragominas;UFRA;universidade;2008;1505502;Paragominas
UFRA - Parauapebas;UFRA;universidade;2008;1505536;Parauapebas
UFRA - Tomé-Açu;UFRA;universidade;2014;1508001;Tomé-Açu
UFRB - Amargosa;UFRB;universidade;2008;2901007;Amargosa
UFRB - Cachoeira;UFRB;universidade;2008;2904902;Cachoeira
UFRB - Cruz das Almas;UFRB;universidade;2008;2909802;Cruz das Almas
UFRB - Feira de Santana;UFRB;universidade;2013;2910800;Feira de Santana
UFRB - Santo Amaro;UFRB;universidade;2014;2928604;Santo Amaro
UFRB - Santo Antônio de Jesus;UFRB;universidade;2008;2928703;Santo Antônio de Jesus
UFRGS - Imbé;UFRGS;universidade;2008;4310330;Imbé
UFRGS - Porto Alegre;UFRGS;universidade;2008;4314902;Porto Alegre
UFRGS - Tramandaí;UFRGS;universidade;2014;4321600;Tramandaí
UFRJ - Duque de Caxias;UFRJ;universidade;2008;3301702;Duque de Caxias
UFRJ - Macaé;UFRJ;universidade;2008;3302403;Macaé
UFRJ - Rio de Janeiro;UFRJ;universidade;2008;3304557;Rio de Janeiro
UFRN - Caicó;UFRN;universidade;2008;2402006;Caicó
UFRN - Currais Novos;UFRN;universidade;2008;2403103;Currais Novos
UFRN - Macaíba;UFRN;universidade;2009;2407104;Macaíba
UFRN - Natal;UFRN;universidade;2008;2408102;Natal
UFRN - Santa Cruz;UFRN;universidade;2008;2411205;Santa Cruz
UFRPE - Belo Jardim;UFRPE;universidade;2020;2601706;Belo Jardim
UFRPE - Cabo de Santo Agostinho;UFRPE;universidade;2014;2602902;Cabo de Santo Agostinho
UFRPE - Recife;UFRPE;universidade;2008;2611606;Recife
UFRPE - Serra Talhada;UFRPE;universidade;2008;2613909;Serra Talhada
UFRR - Boa Vista;UFRR;universidade;2008;1400100;Boa Vista
UFRRJ - Nova Iguaçu;UFRRJ;universidade;2008;3303500;Nova Iguaçu
UFRRJ - Seropédica;UFRRJ;universidade;2008;3305554;Seropédica
UFRRJ - Três Rios;UFRRJ;universidade;2009;3306008;Três Rios
UFS - Aracaju;UFS;universidade;2008;2800308;Aracaju
UFS - Itabaiana;UFS;universidade;2008;2802908;Itabaiana
UFS - Lagarto;UFS;universidade;2011;2803500;Lagarto
UFS - Laranjeiras;UFS;universidade;2008;2803609;Laranjeiras
UFS - Nossa Senhora da Glória;UFS;universidade;2015;2804508;Nossa Senhora da Glória
UFS - São Cristóvão;UFS;universidade;2008;2806701;São Cristóvão
UFSB - Itabuna;UFSB;universidade;2014;2914802;Itabuna
UFSB - Porto Seguro;UFSB;universidade;2014;2925303;Porto Seguro
UFSB - Teixeira de Freitas;UFSB;universidade;2014;2931350;Teixeira de Freitas
UFSC - Araranguá;UFSC;universidade;2009;4201406;Araranguá
UFSC - Blumenau;UFSC;universidade;2014;4202404;Blumenau
UFSC - Curitibanos;UFSC;universidade;2009;4204806;Curitibanos
UFSC - Florianópolis;UFSC;universidade;2008;4205407;Florianópolis
UFSC - Joinville;UFSC;universidade;2009;4209102;Joinville
UFSCAR - Araras;UFSCAR;universidade;2008;3503307;Araras
UFSCAR - Buri;UFSCAR;universidade;2014;3508009;Buri
UFSCAR - Sorocaba;UFSCAR;universidade;2008;3552205;Sorocaba
UFSCAR - São Carlos;UFSCAR;universidade;2008;3548906;São Carlos
UFSJ - Divinópolis;UFSJ;universidade;2008;3122306;Divinópolis
UFSJ - Ouro Branco;UFSJ;universidade;2008;3145901;Ouro Branco
UFSJ - Sete Lagoas;UFSJ;universidade;2009;3167202;Sete Lagoas
UFSJ - São João del Rei;UFSJ;universidade;2008;3162500;São João del Rei
UFSM - Cachoeira do Sul;UFSM;universidade;2014;4303004;Cachoeira do Sul
UFSM - Frederico Westphalen;UFSM;universidade;2008;4308508;Frederico Westphalen
UFSM - Palmeira das Missões;UFSM;universidade;2008;4313706;Palmeira das Missões
UFSM - Santa Maria;UFSM;universidade;2008;4316907;Santa Maria
UFT - Arraias;UFT;universidade;2008;1702406;Arraias
UFT - Gurupi;UFT;universidade;2008;1709500;Gurupi
UFT - Miracema do Tocantins;UFT;universidade;2008;1713205;Miracema do Tocantins
UFT - Palmas;UFT;universidade;2008;1721000;Palmas
UFT - Porto Nacional;UFT;universidade;2008;1718204;Porto Nacional
UFTM - Iturama;UFTM;universidade;2015;3134400;Iturama
UFTM - Uberaba;UFTM;universidade;2008;3170107;Uberaba
UFU - Ituiutaba;UFU;universidade;2008;3134202;Ituiutaba
UFU - Monte Carmelo;UFU;universidade;2011;3143104;Monte Carmelo
UFU - Patos de Minas;UFU;universidade;2011;3148004;Patos de Minas
UFU - Uberlândia;UFU;universidade;2008;3170206;Uberlândia
UFV - Florestal;UFV;universidade;2008;3126000;Florestal
UFV - Rio Paranaíba;UFV;universidade;2008;3155504;Rio Paranaíba
UFV - Viçosa;UFV;universidade;2008;3171303;Viçosa
UFVJM - Diamantina;UFVJM;universidade;2008;3121605;Diamantina
UFVJM - Janaúba;UFVJM;universidade;2014;3135100;Janaúba
UFVJM - Teófilo Otoni;UFVJM;universidade;2008;3168606;Teófilo Otoni
UFVJM - Unaí;UFVJM;universidade;2014;3170404;Unaí
UNB - Brasília;UNB;universidade;2008;5300108;Brasília
UNIFAL-MG - Alfenas;UNIFAL-MG;universidade;2008;3101607;Alfenas
UNIFAL-MG - Poços de Caldas;UNIFAL-MG;universidade;2010;3151800;Poços de Caldas
UNIFAL-MG - Varginha;UNIFAL-MG;universidade;2009;3170701;Varginha
UNIFAP - Macapá;UNIFAP;universidade;2008;1600303;Macapá
UNIFAP - Mazagão;UNIFAP;universidade;2014;1600402;Mazagão
UNIFAP - Oiapoque;UNIFAP;universidade;2008;1600501;Oiapoque
UNIFAP - Santana;UNIFAP;universidade;2008;1600600;Santana
UNIFEI - Itabira;UNIFEI;universidade;2008;3131703;Itabira
UNIFEI - Itajubá;UNIFEI;universidade;2008;3132404;Itajubá
UNIFESP - Diadema;UNIFESP;universidade;2008;3513801;Diadema
UNIFESP - Guarulhos;UNIFESP;universidade;2008;3518800;Guarulhos
UNIFESP - Osasco;UNIFESP;universidade;2011;3534401;Osasco
UNIFESP - Santos;UNIFESP;universidade;2008;3548500;Santos
UNIFESP - São José dos Campos;UNIFESP;universidade;2008;3549904;São José dos Campos
UNIFESP - São Paulo;UNIFESP;universidade;2008;3550308;São Paulo
UNIFESSPA - Marabá;UNIFESSPA;universidade;2013;1504208;Marabá
UNIFESSPA - Rondon do Pará;UNIFESSPA;universidade;2013;1506187;Rondon do Pará
UNIFESSPA - Santana do Araguaia;UNIFESSPA;universidade;2014;1506708;Santana do Araguaia
UNIFESSPA - São Félix do Xingu;UNIFESSPA;universidade;2014;1507300;São Félix do Xingu
UNIFESSPA - Xinguara;UNIFESSPA;universidade;2013;1508407;Xinguara
UNILA - Foz do Iguaçu;UNILA;universidade;2010;4108304;Foz do Iguaçu
UNILAB - Redenção;UNILAB;universidade;2011;2311603;Redenção
UNILAB - São Francisco do Conde;UNILAB;universidade;2014;2929206;São Francisco do Conde
UNIPAMPA - Alegrete;UNIPAMPA;universidade;2008;4300406;Alegrete
UNIPAMPA - Bagé;UNIPAMPA;universidade;2008;4301602;Bagé
UNIPAMPA - Caçapava do Sul;UNIPAMPA;universidade;2008;4302808;Caçapava do Sul
UNIPAMPA - Dom Pedrito;UNIPAMPA;universidade;2008;4306601;Dom Pedrito
UNIPAMPA - Itaqui;UNIPAMPA;universidade;2008;4310603;Itaqui
UNIPAMPA - Jaguarão;UNIPAMPA;universidade;2008;4311007;Jaguarão
UNIPAMPA - Sant'Ana do Livramento;UNIPAMPA;universidade;2008;4317103;Sant'Ana do Livramento
UNIPAMPA - São Borja;UNIPAMPA;universidade;2008;4318002;São Borja
UNIPAMPA - São Gabriel;UNIPAMPA;universidade;2008;4318309;São Gabriel
UNIPAMPA - Uruguaiana;UNIPAMPA;universidade;2008;4322400;Uruguaiana
UNIR - Ariquemes;UNIR;universidade;2009;1100023;Ariquemes
UNIR - Cacoal;UNIR;universidade;2008;1100049;Cacoal
UNIR - Guajará-Mirim;UNIR;universidade;2008;1100106;Guajará-Mirim
UNIR - Ji-Paraná;UNIR;universidade;2008;1100122;Ji-Paraná
UNIR - Porto Velho;UNIR;universidade;2008;1100205;Porto Velho
UNIR - Presidente Médici;UNIR;universidade;2014;1100254;Presidente Médici
UNIR - Rolim de Moura;UNIR;universidade;2008;1100288;Rolim de Moura
UNIR - Vilhena;UNIR;universidade;2008;1100304;Vilhena
UNIRIO - Rio de Janeiro;UNIRIO;universidade;2008;3304557;Rio de Janeiro
UNIVASF - Juazeiro;UNIVASF;universidade;2008;2918407;Juazeiro
UNIVASF - Paulo Afonso;UNIVASF;universidade;2014;2924009;Paulo Afonso
UNIVASF - Petrolina;UNIVASF;universidade;2008;2611101;Petrolina
UNIVASF - Salgueiro;UNIVASF;universidade;2019;2612208;Salgueiro
UNIVASF - Senhor do Bonfim;UNIVASF;universidade;2009;2930105;Senhor do Bonfim
UNIVASF - São Raimundo Nonato;UNIVASF;universidade;2008;2210607;São Raimundo Nonato
UTFPR - Apucarana;UTFPR;universidade;2008;4101408;Apucarana
UTFPR - Campo Mourão;UTFPR;universidade;2008;4104303;Campo Mourão
UTFPR - Cornélio Procópio;UTFPR;universidade;2008;4106407;Cornélio Procópio
UTFPR - Curitiba;UTFPR;universidade;2008;4106902;Curitiba
UTFPR - Dois Vizinhos;UTFPR;universidade;2008;4107207;Dois Vizinhos
UTFPR - Francisco Beltrão;UTFPR;universidade;2008;4108403;Francisco Beltrão
UTFPR - Guarapuava;UTFPR;universidade;2011;4109401;Guarapuava
UTFPR - Londrina;UTFPR;universidade;2008;4113700;Londrina
UTFPR - Medianeira;UTFPR;universidade;2008;4115804;Medianeira
UTFPR - Pato Branco;UTFPR;universidade;2008;4118501;Pato Branco
UTFPR - Ponta Grossa;UTFPR;universidade;2008;4119905;Ponta Grossa
UTFPR - Santa Helena;UTFPR;universidade;2014;4123501;Santa Helena
UTFPR - Toledo;UTFPR;universidade;2008;4127700;Toledo
